english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
control,控制,初中,/kənˈtrəʊl/,You must control yourself.,,你必须控制自己。,He controlled the remote car.,,他控制了遥控车。
copy,复制,初中,/ˈkɒpi/,Copy this page.,,复印这一页。,She copied the notes carefully.,copied,她仔细地抄写了笔记。
correct,正确的,初中,/kəˈrekt/,Your answer is correct.,,你的答案是正确的。,Please correct my mistakes.,,请纠正我的错误。
cost,花费,初中,/kɒst/,How much does it cost?,,这要多少钱？,The ticket cost me ten dollars.,cost,这张票花了我十美元。
could,能够（过去式）,初中,/kʊd/,I could swim when I was young.,,我小时候会游泳。,"Could you help me, please?",,请问你能帮我吗？
country,国家,初中,/ˈkʌntri/,China is my country.,,中国是我的国家。,We live in the countryside.,,我们住在乡村。
cover,覆盖,初中,/ˈkʌvə(r)/,Cover the pot.,,盖上锅盖。,Snow covered the mountains.,covered,白雪覆盖了群山。
cross,穿过,初中,/krɒs/,Cross the street.,,穿过街道。,They crossed the river by boat.,crossed,他们乘船渡过了河。
cut,切,初中,/kʌt/,Cut the bread.,,切面包。,She cut her finger yesterday.,cut,她昨天割伤了手指。
dead,死的,初中,/ded/,The flower is dead.,,花死了。,The battery is dead.,,电池没电了。
decide,决定,初中,/dɪˈsaɪd/,I decided to go.,decided,我决定去。,We need to decide quickly.,,我们需要快速决定。
decision,决定,初中,/dɪˈsɪʒn/,It's a difficult decision.,,这是一个艰难的决定。,The final decision is yours.,,最终决定权在你。
deep,深的,初中,/diːp/,The river is deep.,,这条河很深。,He took a deep breath.,,他深深地吸了一口气。
delicious,美味的,初中,/dɪˈlɪʃəs/,The food is delicious.,,食物很美味。,The cake tastes delicious.,,蛋糕尝起来很美味。
depend,依赖,初中,/dɪˈpend/,It depends.,depends,看情况。,Children depend on their parents.,depend,孩子们依赖他们的父母。
describe,描述,初中,/dɪˈskraɪb/,Describe yourself.,,描述一下你自己。,He described the scene in detail.,described,他详细地描述了那个场景。
develop,发展,初中,/dɪˈveləp/,The city develops quickly.,develops,城市发展很快。,We need to develop a new plan.,develop,我们需要制定一个新计划。
different,不同的,初中,/ˈdɪfrənt/,We have different opinions.,,我们有不同的观点。,The two pictures are different.,,这两张图片是不同的。
difficult,困难的,初中,/ˈdɪfɪkəlt/,This question is difficult.,,这个问题很难。,It's difficult to learn a new language.,,学习一门新语言很难。
do,做,初中,/duː/,Do your homework.,,做你的作业。,She does her work well.,does,她的工作做得很好。
doctor,医生,初中,/ˈdɒktə(r)/,The doctor is kind.,,医生很和蔼。,I need to see a doctor.,,我需要去看医生。
double,双倍的,初中,/ˈdʌbl/,I ordered a double coffee.,,我要了一杯双份咖啡。,The price is double what it was.,,价格是以前的两倍。
down,向下,初中,/daʊn/,Sit down.,,坐下。,The sun goes down in the evening.,,太阳在傍晚落下。
dream,梦想,初中,/driːm/,I have a dream.,,我有一个梦想。,She dreamed of becoming a singer.,dreamed,她梦想成为一名歌手。
drive,开车,初中,/draɪv/,He drives carefully.,drives,他开车很小心。,I will drive you home.,drive,我会开车送你回家。
driver,司机,初中,/ˈdraɪvə(r)/,The driver is experienced.,,司机很有经验。,The bus driver is very friendly.,,公交车司机非常友好。
drop,掉落,初中,/drɒp/,The ball dropped.,dropped,球掉了下来。,Don't drop the glass.,drop,别把玻璃杯掉了。
dry,干燥的,初中,/draɪ/,The clothes are dry.,,衣服干了。,Dry your hands with this towel.,Dry,用这条毛巾擦干你的手。
during,在...期间,初中,/ˈdjʊərɪŋ/,I slept during the class.,,我在课堂上睡着了。,It rained during the night.,,夜间下了雨。
each,每个,初中,/iːtʃ/,Each student has a book.,,每个学生都有一本书。,They gave each child a gift.,,他们给了每个孩子一份礼物。
earth,地球,初中,/ɜːθ/,The earth orbits the sun.,,地球绕太阳运行。,We must protect the earth.,,我们必须保护地球。
east,东方,初中,/iːst/,The sun rises in the east.,,太阳从东方升起。,China is in the east of Asia.,,中国位于亚洲东部。
easy,容易的,初中,/ˈiːzi/,This is easy.,,这很容易。,She found the test easy.,,她觉得这次测验很容易。
eat,吃,初中,/iːt/,I eat breakfast.,,我吃早餐。,He ate an apple yesterday.,ate,他昨天吃了一个苹果。
education,教育,初中,/ˌedʒuˈkeɪʃn/,Education is important.,,教育很重要。,She works in education.,,她在教育领域工作。
effect,效果,初中,/ɪˈfekt/,The medicine has a good effect.,,这药效果很好。,The new rules take effect next month.,,新规定下个月生效。
either,也（否定句中）,初中,/ˈaɪðə(r)/,I don't like coffee either.,,我也不喜欢咖啡。,You can choose either book.,,你可以选择两本书中的任意一本。
eleven,十一,初中,/ɪˈlevn/,November is the eleventh month.,eleventh,十一月是第十一个月。,There are eleven players in a football team.,,一支足球队有十一名球员。
else,别的,初中,/els/,What else do you want?,,你还想要什么别的吗？,Is there anyone else?,,还有其他人吗？
empty,空的,初中,/ˈempti/,The bottle is empty.,,瓶子是空的。,He emptied the box.,emptied,他把盒子清空了。
end,结束,初中,/end/,The film has ended.,ended,电影结束了。,The road ends here.,ends,这条路到这里为止。
energy,能量,初中,/ˈenədʒi/,Solar energy is renewable.,,太阳能是可再生的。,Children have a lot of energy.,,孩子们精力充沛。
engineer,工程师,初中,/ˌendʒɪˈnɪə(r)/,He is an engineer.,,他是工程师。,She engineers new software.,engineers,她设计新软件。
enjoy,享受,初中,/ɪnˈdʒɔɪ/,I enjoy music.,,我喜欢音乐。,She enjoys reading books.,enjoys,她喜欢读书。
enough,足够的,初中,/ɪˈnʌf/,I have enough money.,,我有足够的钱。,He is old enough to drive.,,他年龄足够大，可以开车了。
enter,进入,初中,/ˈentər/,Enter the room.,,进入房间。,She entered the competition.,entered,她参加了比赛。
environment,环境,初中,/ɪnˈvaɪrənmənt/,Protect the environment.,,保护环境。,We live in a clean environment.,,我们生活在干净的环境中。
eraser,橡皮擦,初中,/ɪˈreɪsər/,Use an eraser.,,使用橡皮擦。,My eraser is missing.,,我的橡皮擦不见了。
even,甚至,初中,/ˈiːvn/,Even children can understand.,,甚至连孩子都能理解。,He didn't even say goodbye.,,他甚至没有说再见。
evening,晚上,初中,/ˈiːvnɪŋ/,Good evening!,,晚上好！,We watched a movie yesterday evening.,,我们昨晚看了一部电影。
every,每个,初中,/ˈevri/,Every day is a new beginning.,,每一天都是新的开始。,Every student has a book.,,每个学生都有一本书。
everyone,每个人,初中,/ˈevriwʌn/,Everyone is here.,,每个人都在这里。,Everyone likes the new teacher.,,每个人都喜欢新老师。
everything,每件事,初中,/ˈevriθɪŋ/,Everything is ready.,,一切都准备好了。,Everything changes with time.,,一切都会随时间改变。
everywhere,到处,初中,/ˈevriwer/,Books are everywhere.,,书到处都是。,We looked everywhere for the keys.,,我们到处找钥匙。
exam,考试,初中,/ɪɡˈzæm/,I have an exam.,,我有考试。,She passed the math exam.,,她通过了数学考试。
example,例子,初中,/ɪɡˈzæmpl/,"For example,",,例如，,This is a good example of teamwork.,,这是团队合作的一个好例子。
exercise,锻炼,初中,/ˈeksərsaɪz/,Daily exercise is good.,,每日锻炼有益健康。,He exercises every morning.,exercises,他每天早上锻炼。
expect,期待,初中,/ɪkˈspekt/,I expect good results.,,我期待好结果。,They are expecting a visitor.,expecting,他们正在等一位访客。
expensive,昂贵的,初中,/ɪkˈspensɪv/,This car is expensive.,,这辆车很贵。,The hotel was too expensive for us.,,这家酒店对我们来说太贵了。
explain,解释,初中,/ɪkˈspleɪn/,Please explain.,,请解释一下。,She explained the rules to the class.,explained,她向全班解释了规则。
fact,事实,初中,/fækt/,"In fact,",,事实上，,It is a fact that the Earth is round.,,地球是圆的，这是一个事实。
fail,失败,初中,/feɪl/,Don't be afraid to fail.,,不要害怕失败。,He failed the math test.,failed,他数学考试没及格。
fall,秋天；跌倒,初中,/fɔːl/,Leaves fall in autumn.,,叶子在秋天落下。,Be careful not to fall on the ice.,,小心别在冰上摔倒。
famous,著名的,初中,/ˈfeɪməs/,He is famous.,,他很有名。,This city is famous for its food.,,这座城市以其美食而闻名。
far,远的,初中,/fɑː(r)/,The school is far.,,学校很远。,How far is the station from here?,,车站离这里有多远？
feeling,感觉,初中,/ˈfiːlɪŋ/,I have a good feeling.,,我有很好的感觉。,She expressed her feelings in the letter.,feelings,她在信中表达了她的感受。
first,第一,初中,/fɜːst/,I finished first.,,我第一个完成。,This is my first time in Beijing.,,这是我第一次来北京。
fit,健康的,初中,/fɪt/,She is fit.,,她很健康。,He exercises every day to keep fit.,,他每天锻炼以保持健康。
fix,修理,初中,/fɪks/,Fix the bike.,,修理自行车。,My father fixed the broken chair.,fixed,我父亲修好了那把坏椅子。
flight,航班,初中,/flaɪt/,My flight is delayed.,,我的航班延误了。,We booked a flight to Shanghai.,,我们预订了去上海的航班。
foreign,外国的,初中,/ˈfɒrən/,He speaks a foreign language.,,他说外语。,I like to watch foreign films.,,我喜欢看外国电影。
forest,森林,初中,/ˈfɒrɪst/,The forest is quiet.,,森林很安静。,They went for a walk in the forest.,,他们去森林里散步了。
forget,忘记,初中,/fəˈɡet/,Don't forget.,,别忘了。,I forgot to bring my umbrella.,forgot,我忘记带伞了。
form,形式,初中,/fɔːrm/,Fill in this form.,,填写这张表格。,Ice forms when water freezes.,forms,水结冰时会形成冰。
future,未来,初中,/ˈfjuːtʃər/,Think about the future.,,想想未来。,She wants to be a doctor in the future.,,她未来想成为一名医生。
get,得到,初中,/ɡet/,I get up early.,get,我起得早。,He got a new bike for his birthday.,got,他生日得到了一辆新自行车。
government,政府,初中,/ˈɡʌvərnmənt/,The government helps people.,,政府帮助人民。,The local government built a new park.,,当地政府新建了一个公园。
grandfather,祖父,初中,/ˈɡrænfɑːðər/,My grandfather is old.,,我的祖父年纪大了。,My grandfather tells interesting stories.,,我的祖父会讲有趣的故事。
grandmother,祖母,初中,/ˈɡrænmʌðər/,My grandmother cooks well.,,我的祖母做饭很好吃。,I visit my grandmother every Sunday.,,我每周日都去看望祖母。
great,伟大的,初中,/ɡreɪt/,Shakespeare was great.,,莎士比亚很伟大。,We had a great time at the party.,,我们在派对上玩得很开心。
health,健康,初中,/helθ/,Health is important.,,健康很重要。,Eating vegetables is good for your health.,,吃蔬菜对你的健康有益。
hit,击打,初中,/hɪt/,Don't hit.,,别打人。,The ball hit the window.,hit,球击中了窗户。
I,我,初中,/aɪ/,I am a student.,,我是学生。,I like to read books.,,我喜欢读书。
important,重要的,初中,/ɪmˈpɔːrtnt/,Education is important.,,教育很重要。,It is important to drink enough water.,,喝足够的水很重要。
include,包括,初中,/ɪnˈkluːd/,The price includes tax.,includes,价格含税。,The tour includes a visit to the museum.,includes,这次旅行包括参观博物馆。
increase,增加,初中,/ɪnˈkriːs/,Prices increase.,,价格上涨。,The number of students increased this year.,increased,今年学生人数增加了。
information,信息,初中,/ˌɪnfərˈmeɪʃn/,I need information.,,我需要信息。,You can find more information on the website.,,你可以在网站上找到更多信息。
inside,在里面,初中,/ˌɪnˈsaɪd/,Stay inside.,,待在里面。,The keys are inside the drawer.,,钥匙在抽屉里面。
instead,代替,初中,/ɪnˈsted/,I'll go instead.,,我去代替。,He used honey instead of sugar.,,他用蜂蜜代替了糖。
into,进入,初中,/ˈɪntuː/,Walk into the room.,,走进房间。,She turned the book into a movie.,,她把这本书改编成了电影。
is,是,初中,/ɪz/,He is tall.,,他很高。,My favorite color is blue.,,我最喜欢的颜色是蓝色。
January,一月,初中,/ˈdʒænjuəri/,January is the first month.,,一月是第一个月。,My birthday is in January.,,我的生日在一月。
Japan,日本,初中,/dʒəˈpæn/,Japan is in Asia.,,日本在亚洲。,I want to visit Japan someday.,,我希望有一天能去日本。
Japanese,日本的；日语,初中,/ˌdʒæpəˈniːz/,I study Japanese.,,我学日语。,She bought a Japanese car.,,她买了一辆日本车。
just,刚刚,初中,/dʒʌst/,I just arrived.,,我刚到。,"Just wait a minute, please.",,请稍等片刻。
keep,保持,初中,/kiːp/,Keep quiet.,,保持安静。,He keeps his room clean.,keeps,他保持房间整洁。
